"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"record_id","demographics","","text","受試者編號","","系統自動產生","","","","","","y","","","",""
"enroll_date","demographics","基本資料","text","收案日期","","","date_ymd","","","","","y","","","",""
"name","demographics","","text","姓名","","僅供核對使用，不納入分析","","","","y","","","","","",""
"birth_year","demographics","","text","出生年（民國）","","","number","70","120","","","y","","","",""
"sex","demographics","","radio","性別","1, 男 | 2, 女","","","","","","","y","","","",""
"dept","demographics","","dropdown","訓練科別","1, 內科 | 2, 外科 | 3, 婦產科 | 4, 小麻兒科","","","","","","","y","","","",""
"pgy_year","demographics","","radio","住院醫師年資","1, R1 | 2, R2 | 3, R3","","","","","","","y","","","",""
"med_school","demographics","","text","畢業醫學院","","","","","","","","","","","",""
"grad_year","demographics","","text","畢業年份（西元）","","","number","2010","2025","","","","","","",""
"english_level","demographics","語言能力","radio","英文閱讀自評程度","1, 初級 | 2, 中級 | 3, 中高級 | 4, 高級 | 5, 精通","","","","","","","y","","","",""
"toeic_score","demographics","","text","TOEIC 成績（如有）","","選填","number","0","990","","","","","","",""
"nejm_exp","demographics","NEJM經驗","radio","過去是否曾閱讀 NEJM Case Record?","1, 從未 | 2, 偶爾（1-5篇） | 3, 經常（6篇以上）","","","","","","","y","","","",""
"case_based_exp","demographics","","radio","過去接受 case-based learning 經驗","1, 無 | 2, 少量 | 3, 中等 | 4, 豐富","","","","","","","","","","",""
"consent_signed","demographics","同意書","yesno","已簽署知情同意書","","","","","","","","y","","","",""
"consent_date","demographics","","text","同意書簽署日期","","","date_ymd","","","","[consent_signed]='1'","y","","","",""
"random_group","randomization","隨機分組","radio","分組結果","1, 實驗組（中文本地化講義） | 2, 對照組（英文原版）","由系統隨機產生","","","","","","y","","","",""
"random_date","randomization","","text","分組日期","","","date_ymd","","","","","y","","","",""
"random_by","randomization","","text","分組執行者","","","","","","","","","","","",""
"pre_cr_score","pre_assessment","前測：臨床推理能力","text","臨床推理測驗分數","","0-100分","number","0","100","","","y","","","",""
"pre_cr_time","pre_assessment","","text","完成測驗時間（分鐘）","","","number","0","180","","","","","","",""
"pre_knowledge","pre_assessment","前測：醫學知識","text","醫學知識測驗分數","","0-100分","number","0","100","","","y","","","",""
"pre_motivation","pre_assessment","前測：學習動機","slider","學習動機自評","0|50|100","0=非常低，100=非常高","","0","100","","","","","","",""
"pre_english_efficacy","pre_assessment","前測：英文自我效能","slider","閱讀英文醫學文獻的自信程度","0|50|100","0=完全沒信心，100=非常有信心","","0","100","","","","","","",""
"pre_date","pre_assessment","","text","前測完成日期","","","date_ymd","","","","","y","","","",""
"week_num","weekly_learning","每週學習記錄","text","第幾週","","1-4","number","1","4","","","y","","","",""
"case_title","weekly_learning","","text","本週 Case Record 標題","","","","","","","","y","","","",""
"study_time","weekly_learning","","text","本週學習時間（分鐘）","","","number","0","600","","","y","","","",""
"study_sessions","weekly_learning","","text","分幾次閱讀完成","","","number","1","20","","","","","","",""
"difficulty_rating","weekly_learning","","radio","病例難度評估","1, 非常簡單 | 2, 簡單 | 3, 普通 | 4, 困難 | 5, 非常困難","","","","","","","y","","","",""
"comprehension","weekly_learning","","radio","理解程度自評","1, 完全不理解 | 2, 理解約25% | 3, 理解約50% | 4, 理解約75% | 5, 完全理解","","","","","","","y","","","",""
"quiz_score","weekly_learning","","text","自我測驗分數（實驗組適用）","","0-100分","number","0","100","","[random_group]='1'","","","","",""
"quiz_attempts","weekly_learning","","text","自我測驗嘗試次數","","","number","1","10","","[random_group]='1'","","","","",""
"helpful_sections","weekly_learning","","checkbox","最有幫助的部分（實驗組適用）","1, 中文翻譯 | 2, 重點提醒方塊 | 3, 鑑別診斷框架 | 4, 醫學英文分析 | 5, 自我測驗題目","可複選","","","","","[random_group]='1'","","","","",""
"weekly_notes","weekly_learning","","notes","本週學習心得/困難","","選填","","","","","","","","","",""
"weekly_complete_date","weekly_learning","","text","本週學習完成日期","","","date_ymd","","","","","y","","","",""
"post_cr_score","post_assessment","後測：臨床推理能力","text","臨床推理測驗分數","","0-100分","number","0","100","","","y","","","",""
"post_cr_time","post_assessment","","text","完成測驗時間（分鐘）","","","number","0","180","","","","","","",""
"post_knowledge","post_assessment","後測：醫學知識","text","醫學知識測驗分數","","0-100分","number","0","100","","","y","","","",""
"post_motivation","post_assessment","後測：學習動機","slider","學習動機自評","0|50|100","0=非常低，100=非常高","","0","100","","","","","","",""
"post_english_efficacy","post_assessment","後測：英文自我效能","slider","閱讀英文醫學文獻的自信程度","0|50|100","0=完全沒信心，100=非常有信心","","0","100","","","","","","",""
"post_date","post_assessment","","text","後測完成日期","","","date_ymd","","","","","y","","","",""
"fu_cr_score","followup_assessment","追蹤測驗（第8週）","text","臨床推理測驗分數","","0-100分","number","0","100","","","y","","","",""
"fu_knowledge","followup_assessment","","text","醫學知識測驗分數","","0-100分","number","0","100","","","y","","","",""
"fu_date","followup_assessment","","text","追蹤測驗完成日期","","","date_ymd","","","","","y","","","",""
"sat_overall","satisfaction_survey","整體滿意度","radio","整體而言，您對本次學習教材的滿意度？","1, 非常不滿意 | 2, 不滿意 | 3, 普通 | 4, 滿意 | 5, 非常滿意","","","","","","","y","","","",""
"sat_content","satisfaction_survey","","radio","教材內容的適切性","1, 非常不適切 | 2, 不適切 | 3, 普通 | 4, 適切 | 5, 非常適切","","","","","","","y","","","",""
"sat_difficulty","satisfaction_survey","","radio","教材難度的適切性","1, 太簡單 | 2, 稍簡單 | 3, 適中 | 4, 稍困難 | 5, 太困難","","","","","","","y","","","",""
"sat_usefulness","satisfaction_survey","","radio","對臨床工作的實用性","1, 完全沒用 | 2, 有點用處 | 3, 普通 | 4, 有用 | 5, 非常有用","","","","","","","y","","","",""
"sat_recommend","satisfaction_survey","","radio","會推薦此教材給其他住院醫師","1, 絕對不會 | 2, 可能不會 | 3, 不確定 | 4, 可能會 | 5, 絕對會","","","","","","","y","","","",""
"sat_continue","satisfaction_survey","","radio","未來願意繼續使用此類教材","1, 絕對不會 | 2, 可能不會 | 3, 不確定 | 4, 可能會 | 5, 絕對會","","","","","","","y","","","",""
"sat_chinese_helpful","satisfaction_survey","中文本地化特定問題（實驗組）","radio","中文翻譯對理解病例的幫助程度","1, 完全沒幫助 | 2, 有點幫助 | 3, 普通 | 4, 有幫助 | 5, 非常有幫助","","","","","","[random_group]='1'","y","","","",""
"sat_structure_helpful","satisfaction_survey","","radio","結構化內容對學習的幫助程度","1, 完全沒幫助 | 2, 有點幫助 | 3, 普通 | 4, 有幫助 | 5, 非常有幫助","","","","","","[random_group]='1'","y","","","",""
"sat_english_section","satisfaction_survey","","radio","醫學英文寫作分析的幫助程度","1, 完全沒幫助 | 2, 有點幫助 | 3, 普通 | 4, 有幫助 | 5, 非常有幫助","","","","","","[random_group]='1'","y","","","",""
"sat_quiz_helpful","satisfaction_survey","","radio","自我測驗題目的幫助程度","1, 完全沒幫助 | 2, 有點幫助 | 3, 普通 | 4, 有幫助 | 5, 非常有幫助","","","","","","[random_group]='1'","y","","","",""
"sat_english_barrier","satisfaction_survey","英文版特定問題（對照組）","radio","英文閱讀是否造成學習障礙","1, 完全沒有 | 2, 有點障礙 | 3, 中等障礙 | 4, 相當大障礙 | 5, 非常大障礙","","","","","","[random_group]='2'","y","","","",""
"sat_prefer_chinese","satisfaction_survey","","radio","是否希望有中文版本","1, 完全不需要 | 2, 不太需要 | 3, 無所謂 | 4, 希望有 | 5, 非常希望有","","","","","","[random_group]='2'","y","","","",""
"sat_strength","satisfaction_survey","開放性回饋","notes","教材最大的優點","","","","","","","","","","","",""
"sat_weakness","satisfaction_survey","","notes","教材最需改善之處","","","","","","","","","","","",""
"sat_suggestion","satisfaction_survey","","notes","其他建議或意見","","","","","","","","","","","",""
"sat_complete_date","satisfaction_survey","","text","問卷完成日期","","","date_ymd","","","","","y","","","",""
"dropout","study_status","研究狀態追蹤","yesno","是否退出研究","","","","","","","","","","","",""
"dropout_reason","study_status","","dropdown","退出原因","1, 時間不足 | 2, 興趣缺缺 | 3, 調離單位 | 4, 個人因素 | 5, 其他","","","","","","[dropout]='1'","","","","",""
"dropout_date","study_status","","text","退出日期","","","date_ymd","","","","[dropout]='1'","","","","",""
"study_complete","study_status","","yesno","是否完成全部研究程序","","","","","","","","y","","","",""
"complete_date","study_status","","text","完成日期","","","date_ymd","","","","[study_complete]='1'","","","","",""
