Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,participant_enrollment,,text,Record ID,,,,,,,,,,,,,@HIDDEN-SURVEY @DEFAULT='[record-auto-number]'
user_name,participant_enrollment,,text,評核人員姓名,,,,,,,,,,,,,
trainee_email,participant_enrollment,,text,學員電子信箱,,用於發送 survey 邀請,email,,,y,,y,,,,,@CHARLIMIT=100
enrollment_date,participant_enrollment,,text,註冊日期,,,date_ymd,,,,,,,,,,
chest_eval_date,chest_epa,基本資料,text,評核日期,,請輸入格式 YYYY-MM-DD,date_ymd,,,,,,,,,,
chest_assessor_name,chest_epa,,text,評核教師姓名,,,,,,,,,,,,,@HIDDEN-SURVEY
chest_assessor_email,chest_epa,,text,評核教師電子信箱,,用於發送 EPA survey 邀請,email,,,y,,,,,,,@CHARLIMIT=100 @HIDDEN-SURVEY
chest_assessor_title,chest_epa,,dropdown,評核教師職稱,"1, 主治醫師 | 2, 總醫師 | 3, 其他",,,,,,,,,,,,@HIDDEN-SURVEY
chest_evaluated_id,chest_epa,被評核學員,text,被評核學員學號/員工編號,,請填入受評學員的學號或員工編號,,,,,,,,,,,@CHARLIMIT=20 @HIDDEN-SURVEY
chest_evaluated_name,chest_epa,,text,被評核學員姓名,,,,,,,,y,,,,,@CHARLIMIT=50 @READONLY
chest_evaluated_type,chest_epa,,dropdown,被評核學員類別,"1, 醫學生 | 2, PGY醫師 | 3, 住院醫師 | 4, 專科護理師",,,,,,,,,,,,@HIDDEN-SURVEY
chest_trainee_type,chest_epa,,dropdown,受評者類型,"1, 醫學生 | 2, PGY醫師 | 3, 住院醫師 | 4, 專科護理師",,,,,,,,,,,,@HIDDEN-SURVEY
chest_trainee_name,chest_epa,,text,受評者姓名,,,,,,,,,,,,,@HIDDEN-SURVEY
chest_dept,chest_epa,,text,評核科別,,預設：胸腔內科,,,,,,,,,,,@DEFAULT='胸腔內科' @READONLY @HIDDEN-SURVEY
chest_section_epa,chest_epa,EPA評估項目,descriptive,評分標準說明: Level 1 新手 - 僅能觀察他人執行需督導引導; Level 2 進階初學者 - 可在直接監督下執行; Level 3 勝任 - 可獨立執行但需回報; Level 4 精通 - 可獨立執行監督者隨時可得; Level 5 專家 - 可獨立執行並指導他人,,,,,,,,,,,,,
epa_chest_1,chest_epa,,dropdown,EPA 1: 胸腔科病史詢問與風險評估,"1, Level 1 - 能詢問基本呼吸系統症狀需督導引導 | 2, Level 2 - 能系統性完成病史詢問使用評估工具 | 3, Level 3 - 能獨立完成複雜病史詢問整合風險分層 | 4, Level 4 - 能在困難情況獲取準確病史 | 5, Level 5 - 能指導他人識別罕見症狀 | 0, 未評估",核心能力: 症狀評估/危險因子識別/功能評估/職業環境史,,,,,,y,,,,,
epa_chest_2,chest_epa,,dropdown,EPA 2: 胸部理學檢查,"1, Level 1 - 能基本胸部聽診識別正常呼吸音 | 2, Level 2 - 能識別常見異常呼吸音系統性檢查 | 3, Level 3 - 能區分異常囉音準確評估積液整合發現 | 4, Level 4 - 能識別複雜呼吸音技術精準有效率 | 5, Level 5 - 能偵測細微異常整合臨床表現 | 0, 未評估",核心能力: 視診/觸診/叩診/聽診/杵狀指發紺,,,,,,y,,,,,
epa_chest_3,chest_epa,,dropdown,EPA 3: 胸部影像判讀與分析,"1, Level 1 - 能識別基本正常胸部X光結構 | 2, Level 2 - 能識別明顯異常病變判讀基本CT | 3, Level 3 - 能獨立判讀大部分影像異常整合症狀 | 4, Level 4 - 能判讀複雜影像識別早期病變 | 5, Level 5 - 成為影像專家能教導複雜判讀 | 0, 未評估",核心能力: X光判讀/CT判讀/病變識別/胸膜疾病/縱膈評估,,,,,,y,,,,,
epa_chest_4,chest_epa,,dropdown,EPA 4: 肺功能檢查操作與判讀,"1, Level 1 - 能協助基本肺量計檢查 | 2, Level 2 - 能獨立操作標準檢查基本判讀 | 3, Level 3 - 能完成標準檢查準確評估異常類型 | 4, Level 4 - 能進階技術準確定量評估 | 5, Level 5 - 成為肺功能專家教導複雜技術 | 0, 未評估",核心能力: 肺量計操作/FVC FEV1測量/阻塞限制識別/支氣管擴張試驗,,,,,,y,,,,,
epa_chest_5,chest_epa,,dropdown,EPA 5: 急性呼吸衰竭診斷與初步處理,"1, Level 1 - 能識別典型窘迫症狀知基本檢查 | 2, Level 2 - 能使用診斷流程基本嚴重度評估 | 3, Level 3 - 能獨立診斷呼吸衰竭適當治療策略 | 4, Level 4 - 能處理複雜情況整合多因子決策 | 5, Level 5 - 成為急性衰竭專家指導複雜個案 | 0, 未評估",核心能力: 快速識別/血氣影像檢查/嚴重度分級/氧氣治療/呼吸器決策,,,,,,y,,,,,
epa_chest_6,chest_epa,,dropdown,EPA 6: 氣道疾病診斷與處理,"1, Level 1 - 能識別基本阻塞症狀知緊急原則 | 2, Level 2 - 能處理穩定氣道選基本藥物 | 3, Level 3 - 能獨立處理大部分疾病急性決定 | 4, Level 4 - 能處理複雜疾病評估生物製劑 | 5, Level 5 - 成為氣道專家執行複雜程序 | 0, 未評估",核心能力: 氣喘COPD支擴識別/嚴重度評估/治療選擇/急性處置/長期管理,,,,,,y,,,,,
epa_chest_7,chest_epa,,dropdown,EPA 7: 肺炎與感染性疾病診斷與治療,"1, Level 1 - 能識別肺炎症狀知基本抗生素 | 2, Level 2 - 能使用治療指引基本調整 | 3, Level 3 - 能獨立管理穩定肺炎調整組合 | 4, Level 4 - 能處理難治感染評估進階選項 | 5, Level 5 - 成為感染專家發展個人化策略 | 0, 未評估",核心能力: 診斷評估/病因識別/CURB65 PSI/抗生素治療/整合照護,,,,,,y,,,,,
epa_chest_8,chest_epa,,dropdown,EPA 8: 肺栓塞診斷與管理,"1, Level 1 - 能識別PE症狀知基本診斷流程 | 2, Level 2 - 能使用評分工具開始抗凝治療 | 3, Level 3 - 能獨立診斷PE選適當抗凝 | 4, Level 4 - 能處理複雜PE評估溶栓治療 | 5, Level 5 - 成為血栓專家發展個人化策略 | 0, 未評估",核心能力: Wells Geneva評分/Ddimer CTPA VQ/風險分層/DOAC warfarin/預防措施,,,,,,y,,,,,
epa_chest_9,chest_epa,,dropdown,EPA 9: 胸腔穿刺術與胸管置放,"1, Level 1 - 能協助穿刺了解基本解剖 | 2, Level 2 - 能監督下執行診斷性穿刺 | 3, Level 3 - 能獨立執行穿刺處理併發症 | 4, Level 4 - 能執行複雜手術使用進階技術 | 5, Level 5 - 成為手術專家教導複雜技術 | 0, 未評估",核心能力: 適應症評估/超音波定位/無菌技術/併發症預防/術後管理,,,,,,y,,,,,
epa_chest_10,chest_epa,,dropdown,EPA 10: 支氣管內視鏡檢查,"1, Level 1 - 能協助支氣管鏡識別基本解剖 | 2, Level 2 - 能監督下執行診斷性支氣管鏡 | 3, Level 3 - 能獨立執行標準鏡檢取得檢體 | 4, Level 4 - 能執行治療性鏡檢處理併發症 | 5, Level 5 - 成為鏡檢專家執行進階技術 | 0, 未評估",核心能力: 設備操作/解剖識別/檢體取得/病理識別/治療處置,,,,,,y,,,,,
epa_chest_11,chest_epa,,dropdown,EPA 11: 結核病診斷與治療管理,"1, Level 1 - 能識別TB症狀知基本檢查 | 2, Level 2 - 能執行診斷流程開始一線治療 | 3, Level 3 - 能獨立管理典型TB監測反應 | 4, Level 4 - 能處理複雜TB評估抗藥治療 | 5, Level 5 - 成為TB專家管理MDR併發症 | 0, 未評估",核心能力: 痰液IGRA分子診斷/影像評估/抗TB藥物/副作用監測/抗藥性處理/感染控制,,,,,,y,,,,,
epa_chest_12,chest_epa,,dropdown,EPA 12: 非典型分枝桿菌感染診斷與管理,"1, Level 1 - 能識別NTM可能性了解基本檢查 | 2, Level 2 - 能應用診斷標準區分致病定植 | 3, Level 3 - 能獨立診斷NTM制定治療計畫 | 4, Level 4 - 能處理難治NTM整合內外科 | 5, Level 5 - 成為NTM專家處理抗藥個案 | 0, 未評估",核心能力: MAC Mkansasii菌種識別/ATS診斷標準/影像特徵/治療決策/外科評估,,,,,,y,,,,,
