trainee_type,instrument,subspec,n_records_total,n_records_completed,n_vs_total,n_vs_completed,n_trainee,level_mean,level_median,advance_yes,advance_maybe
NP,Chest Epa,胸腔內科,14,4,8,2,4,1.7,1,4,0
NP,Cv Epa,心臟內科,27,3,9,1,3,2.55,3,3,0
NP,Gi Epa,腸胃內科,16,3,8,2,2,2.7,3,3,0
NP,Nephro Epa,腎臟內科,12,3,4,1,3,1.6,1,1,0
NP,Endocrine Epa,內分泌科,14,0,4,0,0,,,0,0
NP,Hema Epa,血液科,16,0,4,0,0,,,0,0
NP,Id Epa,感染科,4,2,2,1,2,1.75,2,0,0
NP,Onco Epa,腫瘤科,16,0,4,0,0,,,0,0
PGY,Chest Epa,胸腔內科,40,0,8,0,0,,,0,0
PGY,Cv Epa,心臟內科,0,0,0,0,0,,,0,0
PGY,Gi Epa,腸胃內科,40,4,8,2,3,2.41,2,2,0
PGY,Nephro Epa,腎臟內科,20,4,4,1,4,1.07,1,2,0
PGY,Endocrine Epa,內分泌科,0,0,0,0,0,,,0,0
PGY,Hema Epa,血液科,12,0,4,0,0,,,0,0
PGY,Id Epa,感染科,6,1,2,1,1,3.0,3,1,0
PGY,Onco Epa,腫瘤科,12,0,4,0,0,,,0,0
